"alone1" "alone2" "intra1fx" "intra2fx" "inter1fx" "inter2fx" "fit_alone1" "fit_alone2" "epis" "loss" "loss2" "p1" "p2" "comb" "intra1" "intra2" "inter1" "inter2" "fitness" "cotransf" "exx1fx" "exx2fx" "lossXY" "time"
"1e-11_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1 1 1 1 0.85 0 0 1e-04 1 "1e-11_1_1_0.85_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-11_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-04 5409
"1e-13_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1 1 1 1 0.9 0 0 1e-04 1 "1e-13_1_1_0.9_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-13_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-04 6706
"1e-12_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1 1 1 1 0.9 0 0 1e-04 1 "1e-12_1_1_0.9_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-12_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-04 6879
"1e-11_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1 1 1 1 0.9 0 0 1e-04 1 "1e-11_1_1_0.9_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-11_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-04 9037
"1e-13_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1 1 1 1 0.95 0 0 1e-04 1 "1e-13_1_1_0.95_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-13_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-04 13219
"1e-12_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1 1 1 1 0.95 0 0 1e-04 1 "1e-12_1_1_0.95_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-12_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-04 13239
"1e-11_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1 1 1 1 0.95 0 0 1e-04 1 "1e-11_1_1_0.95_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-11_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-04 21944
"1e-13_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1 1 1 1 0.975 0 0 1e-04 1 "1e-13_1_1_0.975_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-13_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-04 25083
"1e-12_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1 1 1 1 0.975 0 0 1e-04 1 "1e-12_1_1_0.975_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-12_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-04 29303
"1e-11_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1 1 1 1 0.975 0 0 1e-04 1 "1e-11_1_1_0.975_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-11_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-04 83738
