"O" "X" "Y" "XY" "R" "precis" "steady" "time" "steps" "ID"
"1" 99876813.4016824 1.7580320358283e-06 1.75803186737252e-06 -8.45673563792382e-18 0.123186598315646 6.7642205007223e-09 1 5708.27000974959 566 "1e-13_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"2" 99876813.4016823 1.31531864297267e-06 8.46506030705495e-07 3.53491390949696e-17 0.123186598315647 8.40222548633947e-09 1 5801.14094989179 598 "1e-12_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"3" 99876813.401684 3.60831560559934e-06 1.97235613202815e-08 -7.50629474843615e-18 0.123186598315647 9.77467885534406e-09 1 6361.26860282952 612 "1e-11_1_1_0.85_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"4" 99876813.4016825 1.94149282001774e-07 3.07341133594122e-07 4.40589728105396e-17 0.123186598315647 8.93482853929213e-09 1 6021.50016623014 552 "1e-13_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"5" 99876813.4016805 2.74881334854638e-06 2.74881343151373e-06 -6.42840723494161e-17 0.123186598315647 9.7032185650561e-09 1 5697.50268221889 594 "1e-12_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"6" 99876813.4016815 2.95671120723852e-06 1.84284082217016e-08 -4.90765481097733e-18 0.123186598315647 8.86869527833301e-09 1 6361.2851735498 677 "1e-11_1_1_0.85_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"7" 99876813.401682 1.42585289459611e-08 1.87145699247962e-06 6.80372362081335e-18 0.123186598315647 9.15891478492811e-09 1 6509.68177247253 648 "1e-13_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1"
"8" 99876813.401683 3.26718518555857e-08 4.42386268658868e-06 -1.10683778128998e-17 0.123186598315647 6.22002632140651e-09 1 6312.63922466769 659 "1e-12_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1"
"9" 99876813.4016809 1.47279822119762e-06 1.47279813792433e-06 -6.69452811718232e-18 0.123186598315647 8.4570304234302e-09 1 6383.66310860738 604 "1e-11_1_1_0.85_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1"
"10" 99876813.4016805 4.09400772561088e-06 4.00112483341032e-15 -2.208145712127e-24 0.123186598315647 8.54801909485418e-09 1 8491.17081399738 584 "1e-13_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"11" 99876813.4016809 6.72817005810041e-06 2.19246448217638e-15 5.29649293191369e-24 0.123186598315646 8.03204635721092e-09 1 8545.96561820257 558 "1e-12_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"12" 99876813.4016751 1.00345120522437e-05 -6.23900425972865e-21 -6.69800699950147e-25 0.123186598315647 8.07460150317056e-09 1 10239.6075134528 570 "1e-11_1_1_0.9_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1"
"13" 99876813.4016829 3.32297825792494e-08 1.03925292536488e-15 -2.65323003659875e-23 0.123186598315647 4.68972015993536e-09 1 9437.44474494034 586 "1e-13_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"14" 99876813.4016808 3.85129123848891e-06 2.39171102831284e-15 -1.87188109093018e-23 0.123186598315647 7.60900224651319e-09 1 8650.50603202372 569 "1e-12_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"15" 99876813.4016777 5.50852922771624e-06 -2.97107907553961e-21 -2.48463333817706e-31 0.123186598315647 5.35677810893597e-09 1 10350.641350048 656 "1e-11_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1"
"16" 99876813.4016793 6.14164565309714e-06 1.29029035243358e-12 1.47326999447119e-21 0.123186598315647 9.46990440435077e-09 1 8403.9579151938 554 "1e-13_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1"
