"X" "XY" "X_XY" "Y" "ID"
"52" 5888 4425 5888 7154 "1e-13_1_1_0.9_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1"
"53" 5961 4458 5961 7144 "1e-12_1_1_0.9_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1"
"54" 6964 4790 6964 6964 "1e-11_1_1_0.9_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1"
"55" 12025 4670 12025 5805 "1e-13_1_1_0.95_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1"
"56" 12451 5011 12451 5787 "1e-12_1_1_0.95_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1"
"57" 19428 4949 19428 5036 "1e-11_1_1_0.95_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1"
"58" 12024 5025 12024 5831 "1e-13_1_1_0.95_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1"
"59" 12450 5144 12450 5810 "1e-12_1_1_0.95_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1"
"60" 19426 4995 19426 5041 "1e-11_1_1_0.95_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1"
"61" 12013 5580 12013 6236 "1e-13_1_1_0.95_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1"
"62" 12437 5623 12437 6186 "1e-12_1_1_0.95_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1"
"63" 19382 5501 19382 5106 "1e-11_1_1_0.95_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1"
"64" 23967 3619 23967 4671 "1e-13_1_1_0.975_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1"
"65" 25764 3993 25764 4568 "1e-12_1_1_0.975_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1"
"66" 109279 3965 109279 3741 "1e-11_1_1_0.975_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1"
"67" 23966 4086 23966 4674 "1e-13_1_1_0.975_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1"
"68" 25763 4169 25763 4571 "1e-12_1_1_0.975_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1"
"69" 109277 4021 109277 3744 "1e-11_1_1_0.975_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1"
"70" 23959 5035 23959 4714 "1e-13_1_1_0.975_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1"
"71" 25754 4994 25754 4609 "1e-12_1_1_0.975_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1"
"72" 109238 4742 109238 3772 "1e-11_1_1_0.975_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1"
