"O" "X" "Y" "XY" "R" "precis" "steady" "time" "steps" "ID"
"1" 99876813.4016815 4.02282506752357e-06 0 0 0.123186598315646 6.39071746173606e-09 1 5683.69937044146 524 "1e-13_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"2" 99876813.4016818 2.69893897768471e-06 0 0 0.123186598315647 8.96973872697195e-09 1 5798.90723980988 540 "1e-12_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"3" 99876813.4016823 2.21405951847647e-06 0 0 0.123186598315647 6.72065127126374e-09 1 6583.24092096227 504 "1e-11_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"4" 859.385659211386 99853582.5793379 0 0 0.145558035002945 2.33755770295829e-10 1 51948.4189710283 290 "1e-10_1_1_0.85_0_1e-08_1:0_1_1_0_0_1e-08_1"
"5" 99876813.4016832 4.39150167708247e-06 0 0 0.123186598315646 6.99923064318007e-09 1 8580.49249260473 521 "1e-13_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"6" 99876813.4016827 4.58270695047227e-06 0 0 0.123186598315646 5.51405332826944e-09 1 8717.33300311928 507 "1e-12_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"7" 99876813.4016795 5.67128036248295e-06 0 0 0.123186598315646 8.651512956524e-09 1 10503.5075263419 514 "1e-11_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"8" 225.387141015471 99862524.9317455 0 0 0.13724968111373 2.14486384209067e-09 1 9162.56553419938 271 "1e-10_1_1_0.9_0_1e-08_1:0_1_1_0_0_1e-08_1"
"9" 99876813.4016739 1.33228176766247e-05 0 0 0.123186598315647 9.02970006957581e-09 1 16686.2959675716 528 "1e-13_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"10" 99876813.4016851 3.19786520596013e-06 0 0 0.123186598315647 6.31410855805730e-09 1 17981.5743116379 515 "1e-12_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"11" 99876813.4016826 1.46067004193158e-06 0 0 0.123186598315647 2.94076119879306e-09 1 28657.1171370869 506 "1e-11_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"12" 135.777324470565 99870025.7670448 0 0 0.1298384556305 3.09063361569883e-09 1 10960.2475574996 260 "1e-10_1_1_0.95_0_1e-08_1:0_1_1_0_0_1e-08_1"
"13" 99876813.4016809 3.9613791846033e-06 0 0 0.123186598315646 4.34310624240236e-09 1 34183.6276367344 512 "1e-13_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"14" 99876813.4016867 2.46064734172703e-09 0 0 0.123186598315646 4.09845403006877e-09 1 53514.6853368248 529 "1e-12_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"15" 99876813.4016766 8.35443435300449e-06 0 0 0.123186598315646 2.64740568573414e-09 1 156147.357717667 554 "1e-11_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"16" 114.727238954807 99873460.1814992 0 0 0.12642509126172 1.57771449238453e-09 1 7322.387689606 255 "1e-10_1_1_0.975_0_1e-08_1:0_1_1_0_0_1e-08_1"
"17" 99999.9984335191 99776813.4032509 0 0 0.123186598315646 6.06585732754183e-09 1 1792978.93311714 278 "1e-13_1_1_1_0_1e-08_1:0_1_1_0_0_1e-08_1"
