"alone1" "alone2" "intra1fx" "intra2fx" "inter1fx" "inter2fx" "fit_alone1" "fit_alone2" "epis" "loss" "loss2" "p1" "p2" "comb" "intra1" "intra2" "inter1" "inter2" "fitness" "cotransf" "exx1fx" "exx2fx" "lossXY" "time"
"1e-12_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-12 1e-12 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-12_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-12 1e-12 1e-12 1e-12 0.765 1e-12 1e-12 1e-12 1e-08 8651
"1e-11_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-11 1e-12 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-11_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-11 1e-12 1e-11 1e-12 0.765 1e-12 1e-11 1e-12 1e-08 10351
"1e-13_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-13 1e-11 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-13_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-13 1e-11 1e-13 1e-11 0.765 1e-13 1e-13 1e-11 1e-08 8404
"1e-12_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-12 1e-11 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-12_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-12 1e-11 1e-12 1e-11 0.765 1e-12 1e-12 1e-11 1e-08 8611
"1e-11_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-11 1e-11 1 1 1 1 0.9 0.85 0 1e-08 1 "1e-11_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-11 1e-11 1e-11 1e-11 0.765 1e-11 1e-11 1e-11 1e-08 10237
"1e-13_1_1_0.95_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-13 1e-13 1 1 1 1 0.95 0.85 0 1e-08 1 "1e-13_1_1_0.95_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.95_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-13 1e-13 1e-13 1e-13 0.8075 1e-13 1e-13 1e-13 1e-08 16753
"1e-12_1_1_0.95_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-12 1e-13 1 1 1 1 0.95 0.85 0 1e-08 1 "1e-12_1_1_0.95_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.95_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-12 1e-13 1e-12 1e-13 0.8075 1e-13 1e-12 1e-13 1e-08 17478
"1e-11_1_1_0.95_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-11 1e-13 1 1 1 1 0.95 0.85 0 1e-08 1 "1e-11_1_1_0.95_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.95_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-11 1e-13 1e-11 1e-13 0.8075 1e-13 1e-11 1e-13 1e-08 31192
"1e-13_1_1_0.95_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-13 1e-12 1 1 1 1 0.95 0.85 0 1e-08 1 "1e-13_1_1_0.95_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.95_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-13 1e-12 1e-13 1e-12 0.8075 1e-13 1e-13 1e-12 1e-08 18197
"1e-12_1_1_0.95_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-12 1e-12 1 1 1 1 0.95 0.85 0 1e-08 1 "1e-12_1_1_0.95_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.95_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-12 1e-12 1e-12 1e-12 0.8075 1e-12 1e-12 1e-12 1e-08 17775
